id,date,category,cases,deaths,intensive
1,2022-07-12,80+,5600,33,104
2,2022-07-12,70-79,10850,41,40
3,2022-07-12,60-69,17150,22,16
4,2022-07-12,50-59,23100,5,10
5,2022-07-12,40-49,26950,5,1
6,2022-07-12,30-39,22750,3,0
7,2022-07-12,20-29,17500,0,0
8,2022-07-12,10-19,14000,0,1
9,2022-07-12,5-9,6300,0,0
10,2022-07-12,<5,3850,0,0
11,2022-07-19,80+,5868,21,142
12,2022-07-19,70-79,11392,51,33
13,2022-07-19,60-69,17605,30,19
14,2022-07-19,50-59,22438,18,5
15,2022-07-19,40-49,25890,2,1
16,2022-07-19,30-39,22093,5,0
17,2022-07-19,20-29,17260,5,0
18,2022-07-19,10-19,13808,0,0
19,2022-07-19,5-9,6214,0,0
20,2022-07-19,<5,4142,0,0
21,2022-07-26,80+,5818,24,180
22,2022-07-26,70-79,10666,33,65
23,2022-07-26,60-69,16484,42,17
24,2022-07-26,50-59,21010,24,5
25,2022-07-26,40-49,23919,0,2
26,2022-07-26,30-39,20686,7,1
27,2022-07-26,20-29,15191,2,1
28,2022-07-26,10-19,12606,0,0
29,2022-07-26,5-9,5818,0,0
30,2022-07-26,<5,3879,0,0
31,2022-08-02,80+,5807,38,240
32,2022-08-02,70-79,9871,38,72
33,2022-08-02,60-69,15097,29,30
34,2022-08-02,50-59,18581,21,8
35,2022-08-02,40-49,20904,6,3
36,2022-08-02,30-39,18001,0,0
37,2022-08-02,20-29,13355,3,0
38,2022-08-02,10-19,12194,0,0
39,2022-08-02,5-9,5516,0,0
40,2022-08-02,<5,3484,3,0
41,2022-08-09,80+,4771,29,222
42,2022-08-09,70-79,8587,65,54
43,2022-08-09,60-69,13119,14,28
44,2022-08-09,50-59,15504,0,7
45,2022-08-09,40-49,16936,3,1
46,2022-08-09,30-39,14073,0,0
47,2022-08-09,20-29,10495,6,0
48,2022-08-09,10-19,9780,0,0
49,2022-08-09,5-9,4771,0,0
50,2022-08-09,<5,2862,3,1
51,2022-08-16,80+,4027,175,25
52,2022-08-16,70-79,6828,58,37
53,2022-08-16,60-69,9630,17,25
54,2022-08-16,50-59,11030,6,15
55,2022-08-16,40-49,12256,0,5
56,2022-08-16,30-39,9980,0,3
57,2022-08-16,20-29,7353,1,5
58,2022-08-16,10-19,7178,0,2
59,2022-08-16,5-9,3327,0,0
60,2022-08-16,<5,2101,0,2
61,2022-08-23,80+,2782,180,40
62,2022-08-23,70-79,4901,46,45
63,2022-08-23,60-69,7286,24,18
64,2022-08-23,50-59,8345,4,13
65,2022-08-23,40-49,9538,3,8
66,2022-08-23,30-39,8213,0,3
67,2022-08-23,20-29,5961,0,5
68,2022-08-23,10-19,4901,0,0
69,2022-08-23,5-9,2517,0,0
70,2022-08-23,<5,1590,0,0
71,2022-08-30,80+,2523,142,28
72,2022-08-30,70-79,4205,41,41
73,2022-08-30,60-69,6608,14,41
74,2022-08-30,50-59,7569,2,7
75,2022-08-30,40-49,8530,2,0
76,2022-08-30,30-39,7449,0,0
77,2022-08-30,20-29,5166,0,0
78,2022-08-30,10-19,4445,0,0
79,2022-08-30,5-9,2523,0,0
80,2022-08-30,<5,1682,0,0
81,2022-09-06,80+,2000,128,43
82,2022-09-06,70-79,3715,32,25
83,2022-09-06,60-69,5429,14,22
84,2022-09-06,50-59,6096,5,4
85,2022-09-06,40-49,6858,0,4
86,2022-09-06,30-39,5905,0,0
87,2022-09-06,20-29,3905,0,0
88,2022-09-06,10-19,3238,0,0
89,2022-09-06,5-9,1905,0,4
90,2022-09-06,<5,1238,0,0
91,2022-09-13,80+,1755,90,44
92,2022-09-13,70-79,3112,22,39
93,2022-09-13,60-69,4628,13,13
94,2022-09-13,50-59,5266,2,4
95,2022-09-13,40-49,5745,0,0
96,2022-09-13,30-39,4867,1,0
97,2022-09-13,20-29,3032,0,0
98,2022-09-13,10-19,2633,0,0
99,2022-09-13,5-9,1516,0,0
100,2022-09-13,<5,1197,0,0
101,2022-09-20,80+,1631,73,16
102,2022-09-20,70-79,3091,20,19
103,2022-09-20,60-69,4636,14,38
104,2022-09-20,50-59,5151,3,5
105,2022-09-20,40-49,6096,0,3
106,2022-09-20,30-39,5151,1,0
107,2022-09-20,20-29,3005,0,0
108,2022-09-20,10-19,3864,0,0
109,2022-09-20,5-9,2318,0,0
110,2022-09-20,<5,1460,0,0
111,2022-09-27,80+,1702,70,29
112,2022-09-27,70-79,3297,17,25
113,2022-09-27,60-69,4999,9,12
114,2022-09-27,50-59,6169,1,4
115,2022-09-27,40-49,7977,0,0
116,2022-09-27,30-39,6169,1,8
117,2022-09-27,20-29,3403,0,0
118,2022-09-27,10-19,6807,0,0
119,2022-09-27,5-9,3191,0,0
120,2022-09-27,<5,1383,0,0
121,2022-10-04,80+,2466,55,33
122,2022-10-04,70-79,4673,19,24
123,2022-10-04,60-69,7010,9,5
124,2022-10-04,50-59,8567,2,5
125,2022-10-04,40-49,9995,0,0
126,2022-10-04,30-39,7139,0,0
127,2022-10-04,20-29,4413,0,0
128,2022-10-04,10-19,7529,0,0
129,2022-10-04,5-9,2207,0,0
130,2022-10-04,<5,1038,0,0
131,2022-10-11,80+,2675,71,17
132,2022-10-11,70-79,5106,18,17
133,2022-10-11,60-69,7295,14,24
134,2022-10-11,50-59,8875,4,3
135,2022-10-11,40-49,9240,1,0
136,2022-10-11,30-39,6565,0,0
137,2022-10-11,20-29,4377,0,0
138,2022-10-11,10-19,5228,0,0
139,2022-10-11,5-9,1337,0,0
140,2022-10-11,<5,851,0,0
141,2022-10-18,80+,3280,72,25
142,2022-10-18,70-79,5774,24,30
143,2022-10-18,60-69,8135,9,11
144,2022-10-18,50-59,9841,4,3
145,2022-10-18,40-49,9710,0,3
146,2022-10-18,30-39,7086,1,0
147,2022-10-18,20-29,4855,1,3
148,2022-10-18,10-19,4461,0,0
149,2022-10-18,5-9,1443,0,0
150,2022-10-18,<5,787,0,0
151,2022-10-25,80+,3145,91,37
152,2022-10-25,70-79,5410,32,32
153,2022-10-25,60-69,7800,12,5
154,2022-10-25,50-59,9436,2,5
155,2022-10-25,40-49,9184,0,3
156,2022-10-25,30-39,6920,0,0
157,2022-10-25,20-29,4278,0,0
158,2022-10-25,10-19,4655,0,0
159,2022-10-25,5-9,1636,0,0
160,2022-10-25,<5,755,0,0
161,2022-11-01,80+,3173,118,34
162,2022-11-01,70-79,5585,26,16
163,2022-11-01,60-69,7869,13,24
164,2022-11-01,50-59,9393,5,11
165,2022-11-01,40-49,9773,1,0
166,2022-11-01,30-39,6727,0,0
167,2022-11-01,20-29,4315,0,0
168,2022-11-01,10-19,4950,0,0
169,2022-11-01,5-9,1523,0,0
170,2022-11-01,<5,635,0,0
171,2022-11-08,80+,3631,94,36
172,2022-11-08,70-79,6535,26,33
173,2022-11-08,60-69,9004,13,13
174,2022-11-08,50-59,10747,1,3
175,2022-11-08,40-49,10892,2,3
176,2022-11-08,30-39,7697,1,0
177,2022-11-08,20-29,5083,0,0
178,2022-11-08,10-19,5809,0,0
179,2022-11-08,5-9,1452,0,0
180,2022-11-08,<5,726,0,0
181,2022-11-15,80+,3320,85,24
182,2022-11-15,70-79,5711,19,40
183,2022-11-15,60-69,7969,7,8
184,2022-11-15,50-59,9829,3,5
185,2022-11-15,40-49,9961,0,3
186,2022-11-15,30-39,7039,0,0
187,2022-11-15,20-29,4516,0,0
188,2022-11-15,10-19,5711,0,0
189,2022-11-15,5-9,1461,0,0
190,2022-11-15,<5,664,0,0
191,2022-11-22,80+,3195,104,43
192,2022-11-22,70-79,5623,26,36
193,2022-11-22,60-69,7667,12,7
194,2022-11-22,50-59,9201,2,0
195,2022-11-22,40-49,9712,2,3
196,2022-11-22,30-39,6773,0,0
197,2022-11-22,20-29,4473,0,0
198,2022-11-22,10-19,5495,0,0
199,2022-11-22,5-9,1406,0,0
200,2022-11-22,<5,767,0,0
